一	Uno	ichi, itsu	hito-tsu
競	Competir, rivalizar	kyō	kiso-u
笑	Reír, sonreír	shō	wara-u
管	Tubería	kan	kuda
節	Articulación, unión	setsu	fushi
粉	Harina, polvo	fun	ko or kona
紀	Crónica	ki
約	Promesa	yaku
結	Atar, unir	ketsu	musu-bu o yu-u
給	Sueldo	kyū	tama-u
続	Continuar, seguir	zoku	tsudu-ku
置	Colocar	chi	o-ku
老	Envejecer	rō	o-iru
胃	Estómago, barriga	i
脈	Vena	myaku
腸	Intestino, vísceras	chō
臣	Criado	shin
航	Navegar	kō
良	Bueno	ryō	yo-i
芸	Arte	gei
芽	Brote	ga	me
英	Inglaterra, excelente	ei
菜	Verduras, vegetales	sai	na
街	Ciudad	gai	machi
衣	Ropas	i	koromo
要	Necesitar	yō	i-ru
覚	Recordar, memorizar	kaku	obo-eru o sa-meru
観	Observar, punto de vista	kan	mi-ru
訓	Lección, lectura kun	kun
試	Prueba	shi	kokoromi-ru o tame-su
説	Teoría, explicar	setsu	to-ku
課	Capítulo, sección	ka
議	Deliberar, considerar	gi
象	Forma, imitar	zō or shō	
貨	Dinero, bienes	ka
貯	Ahorrar	cho	ta-meru
費	Gastar	hi	tsui-yasu
賞	Premio	shō
軍	Ejército, tropas	gun
輪	Anillo, aro, rueda	rin	wa
辞	Renunciar, dimitir	ji	ya-meru
辺	Vecindad	hen	ata-ri
連	Unir, acompañar	ren	tsu-reru o tsura-neru
達	Realizar, alcanzar		tachi
選	Elegir	sen	era-bu
郡	Condado, distrito	gun
量	Medir	ryō
録	Registro, copia	roku
鏡	Espejo	kyō	kagami
関	Barrera, valla	kan	seki
陸	Tierra	riku
隊	Grupo	tai
静	Tranquilo	sei	shizu-ka
順	Orden, turno	jun
願	Desear, pedir, rogar	gan	nega-u
類	Variedad, clase	rui
飛	Volar	hi	to-bu
飯	Comida	han	meshi
養	Criar, mantener	yō	yashina-u
験	Prueba	ken
久	Mucho tiempo, largo tiempo	kyū	hisa
仏	Buda, Francia, muerto	hutsu o butsu	hotoke
仮	Temporal, falso	ka o ke	kari
件	Asunto, caso	ken
任	Responsabilidad, confiar a	nin	maka-seru
似	Parecerse	ji	ni-ru
余	Ser demasiado, sobrar	yo	ama-ru
価	Valor	ka	atai
保	Mantener, garantizar	ho	tamo-tsu
修	Disciplina, controlar	shū	osa-meru
俵	Saco de paja	hyō	tawara
個	Individual, individuo	ko
備	Equipar, proveer	bi	sona-eru
像	Estatua, imagen, figura	zō
再	De nuevo	sai o sa	futata-bi
刊	Publicar, editar	kan
判	Distinguir, juzgar	han	waka-ru
制	Comprobar, determinar	sei
券	Ticket, billete	ken
則	Norma, regla	soku	notto-ru
効	Eficaz	kō	ki-ku
務	Tarea, servir	mu	tsuto-meru
勢	Fuerza, vigor	sei	ikio-i
厚	Grueso, espeso	kō	atsu-i
句	Frase, cláusula	ku
可	Posible	ka
営	Dirigir un negocio	ei	itona-mu
因	Causa	in	yo-ru
団	Equipo, grupo	dan or ton
圧	Presión, opresión	atsu
在	Existir, ser	zai	a-ru
均	Nivel	kin
基	Fundamento, origen	ki	moto-duku
報	Informar, recompensar	hō	muku-iru
境	Borde, límite, frontera	kyō	sakai
墓	Tumba	bo	haka
増	Aumentar, incrementar	zō	ma-su o fu-eru
夢	Sueño	mu	yume
妻	Esposa	sai	tsuma
婦	Señora, esposa	fu
容	Contenido	yō
寄	Colaborar, apoyarse en	ki	yo-ru
富	Riqueza	fu	tomi
導	Guiar	dō	michibi-ku
居	Ser	kyo	i-ru
属	Subordinación, obediencia	zoku
布	Tela	fu	nuno
師	Maestro, experto	shi
常	Normal, siempre	jō	tsune
幹	Tronco del árbol, base	kan	miki
序	Inicio, comienzo	jo
弁	Dicurso, dialecto	ben
張	Hinchar, ensanchar	chō	ha-ru
往	Viaje	ō
復	Volver, regresar	fuku
徳	Virtud	toku
志	Aspirar, desear	shi	kokorozashi
応	Responder, contestar	ō
快	Agradable, placentero	kai	kokoroyo-i
性	Género, sexo	sei o shō	saga
恩	Bondad	on
情	Simpatía, emoción	jō	nasa-ke
態	Figura, apariencia	tai
慣	Acostumbrarse	kan	na-reru
承	Escuchar, ser informado	shō	uketamawa-ru
技	Habilidad, arte, técnica	gi	waza
招	Invitar, convocar	shō	mane-ku
授	Instruir, conceder, otorgar	ju	sazu-keru
採	Recoger (fruta), adoptar (medida)	sai	to-ru
接	Unir, conectar, contactar	setsu	ses-suru o tsu-gu
提	Tomar, llevar en la mano	tei	sa-geru
損	Perder, dañar	son	soko-neru
支	Soportar, soporte	shi	sasa-eru
政	Política, gobierno, reglas	sei	matsurigoto
故	Razón, causa	ko	yue
敵	Enemigo, rival	teki	kataki
断	Cortar, rechazar	dan	ta-tsu o kotowa-ru
旧	Antiguo, viejos tiempos	kyū
易	Fácil, sencillo	eki	yasa-shii
暴	Violento, alboroto	bō	aba-ku
条	Artículo, cláusula	jō
枝	Rama, bifurcación	shi	eda
査	Investigar	sa
格	Estado	kaku
桜	Cerezo	ō	sakura
検	Examinar, analizar	ken
構	Construir	kō	kama-eru
武	Guerrero	bu o mu
比	Comparar	hi	kura-beru
永	Eterno, infinito	ei	naga-i
河	Río	ga	kawa
液	Líquido, fluido	eki
混	Mezclar	kon	ma-zaru
減	Disminuir	gen	he-ru
測	Medida, medir	soku	haka-ru
準	Semi-, asociado	jun
演	Realizar, llevar a cabo	en
潔	Puro, honrado	ketsu	isagiyo-i
災	Desastre	sai	wazawa-i
燃	Quemar	nen	mo-eru
版	Edición, impreso	han
犯	Crimen, delinquir	han	oka-su
状	Estado, condición	jō
独	Único, sólo, Alemania	doku	hito-ri
率	Liderar	ritsu o sotsu	hiki-iru
現	Aparecer	gen	arawa-reru
留	Parar, detener	ryū ru	todo-maru
略	Abreviación	ryaku
益	Beneficio	eki
眼	Ojo, vista	gan	me
破	Dañar, romper	ha	yabu-ru
確	Seguro, cierto	kaku	tashi-ka
示	Mostrar, enseñar	shi	shime-su
祖	Antepasado, fundador	so
禁	Prohibición	kin
移	Mudarse, trasladar	i	utsu-ru
程	Grado, extensión	tei	hodo
税	Impuesto	zei
築	Construir, edificar	chiku	kizu-ku
精	Refinar	sei
素	Materia prima	su o so	moto
経	Pasar, transcurrir	kei o kyō	he-ru
統	Controlar, supervisar	tō	su-beru
絶	Desaparecer, extinguir	zetsu	ta-tsu
綿	Algodón	men	wata
総	General, entero	sō
編	Tejer	hen	a-mu
績	Hilado, hilar	seki
織	Tramar, tejer	shiki	o-ru
罪	Delito, culpabilidad	zai	tsumi
群	Manada	gun	mu-reru
義	Moralidad, lealtad	gi
耕	Labrar, arar	kō	tagaya-su
職	Puesto, empleo	shoku
肥	Engordar, fertilizar, abonar	hi	ko-yasu
能	Habilidad, talento	nō
興	Popularizar	kyō	oko-su
舌	Lengua	zetsu	shita
舎	Casa de campo	sha
術	Arte, técnica	jutsu	sube
衛	Defensa, protección	ei
製	Fabricar, construir	sei
複	Repetir, duplicar	fuku
規	Compás, regla, medida, norma	ki
解	Resolver, desatar	ge o kai	to-ku
設	Crear, establecer	setsu	mouke-ru
許	Permitir	kyo	yuru-su
証	Evidencia	shō
評	Criticar	hyō
講	Discurso, conferencia	kō
謝	Disculparse	sha	ayama-ru
識	Distingir	shiki
護	Proteger	go	mamo-ru
豊	Abundancia	hō	yuta-ka
財	Propiedad, dinero, riqueza	zai
貧	Pobre	hin	mazushi-i
責	Condenar, censurar	seki	se-meru
貸	Prestar, alquilar	tai	ka-su
貿	Comercio, intercambio	bō
賀	Felicitaciones	ga
資	Recursos, capital	shi
賛	Admirar, alabar	san
質	Contenido	shitsu
輸	Transportar, trasladar	yu
述	Mencionar, expresar	jutsu	no-beru
迷	Perderse	mei	mayo-u
退	Retroceder	tai	shirizo-ku
逆	Reverso, inverso,	gyaku	sakara-u
造	Crear, construir	zō	tsuku-ru
過	Pasar, traspasar	ka	ayama-chi
適	Adecuado	teki
酸	Ácido, agrio	san
鉱	Mineral	kō
銅	Cobre	dō
銭	Moneda, céntimo de yen	sen	zeni
防	Defender, proteger	bō	fuse-gu
限	Limitar, restringir	gen	kagi-ru
険	Escarpado	ken	kewa-shii
際	Límite, frontera, ocasión	sai	kiwa
雑	Misceláneo, varios	zatsu
非	Negativo, equivocado	hi	ara-zu
預	Dejar o quedarse al cuidado	yo	azu-keru
領	Control, punto clave	ryō
額	Frente, cantidad de dinero	gaku	hitai
飼	Criar, mantener, tener animales	shi	ka-u
並	Alinear	hei	nami or nara-bu
乱	Confundirse, desorientarse	ran	mida-reru
乳	Leche	nyū	chichi
亡	Desaparecer, huir	bō	na-kunaru
仁	Humanidad, caridad	jin
供	Ofrecer a, acompañante	kyō or ku	tomo
俳	Haiku, actor	hai
値	Precio, coste, valor	chi	atai
傷	Herida, daño	shō	kizu
優	Excelente	yū	yasa-shii
党	Partido político	tō
冊	Tomo, - nº de libros	satsu
処	Lugar, ingeniárselas	sho
刻	Esculpir, afilar, grabar	koku	kiza-mu
割	Dividir, distribuir	katsu	wa-ru
創	Fundar, comenzar	sō	tsuku-ru
